,MCF7,HEPG2,HT29,A375,PC3,YAPC,A549,HCC515
PIGQ,5.017031080527841,3.636914580355878,4.682573297347578,3.6791985705669217,4.2935176304174245,3.553360503335328,3.8904466926799057,3.676944359106912
CRAMP1,3.618238655595455,2.503348735167504,3.007195501404204,2.8052924556007115,2.37851162325373,2.028569152196771,2.4750848829487837,2.62993940943954
TEAD3,3.3015876466031866,4.606442228131606,4.2757520488285286,2.0143552929770703,2.700439718141092,4.139142019145689,1.6599245584023783,2.2750070474998703
SELE,0.070389327891398,0.01435529297707,0.0,0.01435529297707,0.01435529297707,0.0,0.0,0.0
DNAJC11,5.51064550409004,5.39746072605472,5.615004241635032,4.724650271732967,5.434961760187254,5.0900065299038175,4.554588851677638,5.151777654732053
FMO3,0.0,0.0,0.0,0.0285691521967709,0.0,0.0,0.0,0.0
MYLIP,5.669877160489095,1.5008020530571575,3.3175935046234715,3.104336659814736,2.140778655782796,3.5285713188707577,1.9221978483963669,3.4019034716079584
NOX1,0.01435529297707,0.0426443374084937,4.139960569545456,0.01435529297707,0.0285691521967709,0.01435529297707,0.4222330006830478,0.1505596765753814
E2F2,2.472487771462744,2.0874628412503395,1.2016338611696504,1.2750070474998698,1.2265085298086795,2.0806576633452254,1.480265122054463,1.803227036434928
PSMB1,8.497013513324307,8.36115424129828,8.328091448995245,8.175923742063755,7.492253789302918,8.24050514939098,7.758622982440238,7.454340424752483
SYN1,0.3103401206121505,0.0565835283663675,0.1505596765753814,0.2509615735332188,0.01435529297707,0.3219280948873623,0.0,0.1890338243900171
